名字,组成
钩藤散,"['钩藤', '麦门冬', '茯苓', '木茯神', '芦人参', '梗甘菊花', '钗股防风', '炙甘草', '生石膏']"
资寿解语汤,"['羌活', '芦头防风', '脐附子', '天麻', '羚羊角屑', '酸枣仁', '炙甘草']"
羚角钩藤汤,"['羚角片', '霜桑叶', '京川贝', '鲜生地黄', '双钩藤', '滁菊花', '茯神木', '生白芍', '生甘草', '鲜刮淡竹茹']"
卫生防疫宝丹,"['甘草', '细辛', '白芷', '薄荷', '冰片', '朱砂']"
菖蒲郁金汤,"['石菖蒲', '栀子', '鲜竹叶', '牡丹', '郁金', '连翘', '木通', '竹沥冲', '玉枢丹']"
甘草干姜汤,"['炙甘草', '干姜']"
胃关煎,"['熟地黄至', '山药', '白扁豆', '炙甘草', '干姜至', '吴茱萸至', '白术至']"
益黄散,"['丁香', '诃子', '甘草']"
逐寒荡惊汤,"['肉桂', '炮姜', '丁香', '胡椒', '灶土']"
厚朴温中汤,"['厚朴', '炙甘草', '草豆蔻', '茯苓', '木香', '干姜', '生姜片']"
小建中汤,"['桂枝', '芍药', '甘草', '生姜片', '大枣', '饴糖']"
茯苓四逆汤,"['茯苓', '人参', '生附子', '炙甘草', '干姜']"
六味回阳饮,"['人参', '制附子', '炮姜', '炙甘草', '熟地黄', '当归身']"
回阳救急汤,"['熟附子', '干姜', '肉桂', '人参', '白术', '茯苓', '甘草', '味子', '麝香厘临服时入汤内调服', '生姜片']"
参附汤,"['人参', '附子']"
黑锡丹,"['黑锡', '硫磺', '金铃子', '葫芦巴', '木香', '附子', '肉豆蔻', '破故纸', '沉香', '茴香', '阳起石', '肉桂']"
五味子汤,"['味子', '麦门冬', '人参', '杏仁', '生姜片', '大枣']"
九仙散,"['人参', '款冬花', '桑白', '桔梗', '味子', '阿胶', '乌梅', '贝母', '御米壳']"
人参蛤蚧散,"['蛤蚧对', '人参', '茯苓', '知母', '贝母', '桑白', '甘草', '杏仁']"
补肺汤,"['人参', '黄芪', '北味', '紫菀', '桑白', '熟地黄']"
金水六君煎,"['当归', '熟地黄', '夏饯', '茯苓', '炙甘草', '生姜至片']"
补肺阿胶散,"['阿胶', '牛蒡子', '杏仁', '马兜铃', '炙甘草', '糯米']"
木防己汤,"['木防己', '石膏', '桂枝', '人参']"
皂荚丸,['皂荚']
桔梗汤,"['桔梗', '甘草']"
三子养亲汤,"['白芥子', '苏子', '莱菔子']"
定喘汤,"['白果', '麻黄', '苏子', '甘草', '款冬花', '杏仁', '蜜炙桑白', '黄芩', '法夏']"
射干麻黄汤,"['射干', '麻黄', '生姜', '细辛', '紫菀', '款冬花', '大枣', '味子']"
黛蛤散,"['青黛', '煅蛤粉']"
二母散,"['知母', '贝母']"
贝母瓜蒌散,"['贝母', '瓜蒌', '花粉', '茯苓', '橘红']"
清燥救肺汤,"['桑叶', '石膏', '甘草', '人参', '胡麻仁', '阿胶', '杏仁', '麦门冬', '杏仁', '枇杷叶']"
葶苈大枣泻肺汤,"['葶苈子', '大枣']"
五虎汤,"['麻黄', '杏仁', '甘草', '腊茶', '石膏']"
麻黄杏仁甘草石膏汤,"['麻黄', '杏仁', '甘草', '石膏']"
金沸草散,"['前胡', '荆芥', '姜夏', '赤芍', '细辛', '炙甘草', '旋覆花']"
柴胡达原饮,"['柴胡', '生枳壳', '川朴', '炙甘草', '黄芩', '桔梗', '草果', '槟榔', '荷叶梗']"
十味温胆汤,"['枳实', '白茯苓', '酸枣仁', '远志', '子熟地黄', '人参', '粉草']"
华盖散,"['麻黄', '苏子', '桑白', '杏仁', '赤茯苓', '炙甘草']"
三拗汤,"['麻黄', '杏仁', '甘草']"
消瘿五海饮,"['海带', '海藻', '昆布', '海蛤壳', '海螵蛸', '木香', '莪术', '桔梗', '细辛', '香附', '猪胰子']"
四海舒郁丸,"['青木香', '海蛤粉', '海带', '海藻', '昆布', '海螵蛸']"
海藻玉壶汤,"['海藻', '贝母', '昆布', '川芎', '当归', '连翘', '甘草', '独活', '海带']"
消瘰丸,"['元参', '醋研牡蛎', '川贝母']"
内消瘰疬丸,"['夏枯草', '玄参', '天花粉', '甘草', '青盐', '白蔹', '当归', '海藻', '枳壳', '桔梗', '川贝母', '制大黄', '薄荷', '连翘', '海蛤粉', '生地黄', '硝石']"
夏枯草膏,"['夏枯草', '当归', '白芍', '玄参', '乌药', '浙贝母', '僵蚕', '昆布', '桔梗', '甘草', '川芎', '红花', '香附']"
指迷茯苓丸,"['茯苓', '枳壳', '风化朴硝']"
半夏散,"['桂枝', '炙甘草']"
